Energy,Coordinates MAX,Coordinates 50%,Coordinates 10%
10.1.,"(1023.6666666666666, 2.1)","(532.1833333333333, 3.7)","(99.5583333333333, 4.5)"
10.15.,"(1057.2666666666669, 2.3000000000000003)","(553.4166666666666, 3.7)","(111.27533333333334, 4.5)"
10.15,"(1057.2666666666669, 2.3000000000000003)","(553.4166666666666, 3.7)","(111.27533333333334, 4.5)"
10.1,"(1023.6666666666666, 2.1)","(532.1833333333333, 3.7)","(99.5583333333333, 4.5)"
10.2.,"(1051.7, 2.3000000000000003)","(564.8266666666667, 3.7)","(116.995, 4.5)"
10.25.,"(1051.7, 2.3000000000000003)","(564.8266666666667, 3.7)","(116.995, 4.5)"
10.25,"(1051.7, 2.3000000000000003)","(564.8266666666667, 3.7)","(116.995, 4.5)"
10.2,"(1051.7, 2.3000000000000003)","(564.8266666666667, 3.7)","(116.995, 4.5)"
10.3.,"(1056.6666666666667, 1.9)","(480.55666666666656, 3.9)","(76.16666666666659, 4.699999999999999)"
10.35.,"(1087.7333333333331, 2.1)","(501.40333333333336, 3.9)","(88.12766666666666, 4.699999999999999)"
10.35,"(1087.7333333333331, 2.1)","(501.40333333333336, 3.9)","(88.12766666666666, 4.699999999999999)"
10.3,"(1056.6666666666667, 1.9)","(480.55666666666656, 3.9)","(76.16666666666659, 4.699999999999999)"
10.4.,"(1089.5333333333335, 2.5)","(511.2333333333333, 3.9)","(91.491, 4.699999999999999)"
10.45.,"(1099.7, 2.1)","(529.5866666666667, 3.9)","(96.851, 4.699999999999999)"
10.45,"(1099.7, 2.1)","(529.5866666666667, 3.9)","(96.851, 4.699999999999999)"
10.4,"(1089.5333333333335, 2.5)","(511.2333333333333, 3.9)","(91.491, 4.699999999999999)"
10.5.,"(697.7966666666666, 2.3000000000000003)","(333.50333333333333, 3.9)","(63.30433333333334, 4.699999999999999)"
10.55.,"(1131.3333333333333, 2.3000000000000003)","(580.6833333333333, 3.9)","(114.60699999999991, 4.699999999999999)"
10.55,"(1131.3333333333333, 2.3000000000000003)","(580.6833333333333, 3.9)","(114.60699999999991, 4.699999999999999)"
10.5,"(697.7966666666666, 2.3000000000000003)","(333.50333333333333, 3.9)","(63.30433333333334, 4.699999999999999)"
10.6.,"(699.0433333333334, 2.5)","(342.6366666666666, 3.9)","(70.554, 4.699999999999999)"
10.65.,"(1143.4, 2.5)","(607.1366666666667, 3.9)","(132.533, 4.699999999999999)"
10.65,"(1143.4, 2.5)","(607.1366666666667, 3.9)","(132.533, 4.699999999999999)"
10.6,"(699.0433333333334, 2.5)","(342.6366666666666, 3.9)","(70.554, 4.699999999999999)"
10.7.,"(1015.0, 2.9)","(546.27, 4.699999999999999)","(104.438, 5.699999999999999)"
10.75.,"(1155.9666666666665, 2.3000000000000003)","(631.8, 3.9)","(89.27166666666666, 4.9)"
10.75,"(1155.9666666666665, 2.3000000000000003)","(631.8, 3.9)","(89.27166666666666, 4.9)"
10.7,"(1015.0, 2.9)","(546.27, 4.699999999999999)","(104.438, 5.699999999999999)"
10.8.,"(709.3533333333334, 2.5)","(380.82666666666665, 3.9)","(88.27633333333334, 4.699999999999999)"
10.8,"(709.3533333333334, 2.5)","(380.82666666666665, 3.9)","(88.27633333333334, 4.699999999999999)"
11.1,"(742.0033333333334, 2.3000000000000003)","(377.15, 4.1)","(87.652, 4.9)"
11.2,"(771.6366666666667, 2.5)","(405.69666666666666, 4.1)","(96.67866666666669, 4.9)"
11.3,"(773.7700000000001, 2.7)","(429.93666666666667, 4.1)","(63.48333333333333, 5.1)"
11.4.,"(804.57, 2.5)","(359.1033333333333, 4.3)","(76.28066666666668, 5.1)"
11.4,"(804.57, 2.5)","(359.1033333333333, 4.3)","(76.28066666666668, 5.1)"
11.5.,"(821.5933333333332, 2.7)","(405.0833333333333, 4.3)","(89.00866666666667, 5.1)"
11.5,"(821.5933333333332, 2.7)","(405.0833333333333, 4.3)","(89.00866666666667, 5.1)"
11.6.,"(825.8466666666667, 2.9)","(422.7733333333333, 4.3)","(101.46533333333332, 5.1)"
11.6,"(825.8466666666667, 2.9)","(422.7733333333333, 4.3)","(101.46533333333332, 5.1)"
11.7.,"(839.13, 2.5)","(453.21, 4.3)","(69.59033333333333, 5.3)"
11.7,"(839.13, 2.5)","(453.21, 4.3)","(69.59033333333333, 5.3)"
11.8.,"(844.8766666666667, 2.9)","(389.0333333333333, 4.5)","(84.15133333333334, 5.3)"
11.8,"(844.8766666666667, 2.9)","(389.0333333333333, 4.5)","(84.15133333333334, 5.3)"
11.95,"(868.9966666666668, 2.7)","(429.14, 4.5)","(107.86266666666666, 5.3)"
11.9,"(890.1999999999999, 2.7)","(403.8933333333334, 4.5)","(92.641, 5.3)"
11,"(732.8066666666667, 2.5)","(359.0833333333333, 4.1)","(77.91166666666668, 4.9)"
12.1.,"(892.1466666666666, 2.9)","(475.89, 4.5)","(79.47, 5.5)"
12.1,"(892.1466666666666, 2.9)","(475.89, 4.5)","(79.47, 5.5)"
12.2.,"(922.0166666666664, 2.5)","(485.2266666666667, 4.5)","(88.80400000000002, 5.5)"
12.2,"(922.0166666666664, 2.5)","(485.2266666666667, 4.5)","(88.80400000000002, 5.5)"
12.3.,"(932.4133333333334, 2.9)","(444.3466666666666, 4.699999999999999)","(100.40866666666666, 5.5)"
12.3,"(932.4133333333334, 2.9)","(444.3466666666666, 4.699999999999999)","(100.40866666666666, 5.5)"
12.4,"(960.8333333333334, 2.9)","(468.1666666666667, 4.699999999999999)","(112.58833333333332, 5.5)"
12.5,"(980.9833333333336, 3.1)","(491.5266666666666, 4.699999999999999)","(73.93966666666667, 5.699999999999999)"
12.6.,"(421.01666666666665, 1.3)","(242.2966666666667, 2.3000000000000003)","(25.789266666666663, 3.1)"
12.6,"(990.26, 2.7)","(522.41, 4.699999999999999)","(90.79066666666668, 5.699999999999999)"
12.7,"(1015.0, 2.9)","(546.27, 4.699999999999999)","(104.438, 5.699999999999999)"
12.8,"(1026.1, 2.9)","(474.82666666666665, 4.9)","(125.99666666666668, 5.699999999999999)"
12,"(887.9633333333333, 2.9)","(441.8633333333334, 4.5)","(106.44833333333334, 5.3)"
13.2.,"(1108.3333333333333, 3.1)","(500.2933333333333, 5.1)","(127.14866666666668, 5.9)"
13.2,"(1108.3333333333333, 3.1)","(500.2933333333333, 5.1)","(127.14866666666668, 5.9)"
13.3,"(1142.8, 3.1)","(532.2566666666668, 5.1)","(92.44733333333332, 6.099999999999999)"
13.4,"(1145.1, 3.1)","(558.2066666666666, 5.1)","(104.0006666666666, 6.099999999999999)"
13.5,"(1162.6, 3.2999999999999994)","(598.3666666666667, 5.1)","(118.42466666666668, 6.099999999999999)"
13.,"(1067.2666666666669, 3.1)","(548.9766666666666, 4.9)","(94.95666666666666, 5.9)"
13,"(1067.2666666666669, 3.1)","(548.9766666666666, 4.9)","(94.95666666666666, 5.9)"
4.6.,"(350.18666666666667, 0.9)","(183.0163333333333, 1.5)","(39.306666666666665, 1.9)"
4.7.,"(353.66, 0.9)","(199.21333333333337, 1.5)","(19.134466666666665, 2.1)"
4.8.,"(366.31666666666666, 0.9)","(145.41733333333335, 1.7)","(23.863666666666663, 2.1)"
4.9.,"(381.03, 0.9)","(163.11966666666666, 1.7)","(30.797, 2.1)"
4.95.,"(393.4166666666667, 0.9)","(182.4076666666667, 1.7)","(44.32266666666666, 2.1)"
5.1.,"(404.5666666666666, 0.9)","(208.09333333333333, 1.7)","(60.73766666666666, 2.1)"
5.2.,"(399.4500000000001, 0.9)","(231.16333333333333, 1.7)","(26.52, 2.3000000000000003)"
5.3.,"(414.18, 1.1)","(251.82666666666665, 1.7)","(30.82933333333333, 2.3000000000000003)"
5.4.,"(427.61, 0.9)","(178.84533333333334, 1.9)","(42.15906666666667, 2.3000000000000003)"
5.5.,"(433.4766666666667, 1.1)","(206.6533333333333, 1.9)","(55.83133333333333, 2.3000000000000003)"
5.6.,"(452.2, 1.1)","(238.74666666666667, 1.9)","(27.512, 2.5)"
5.7.,"(460.1166666666666, 1.1)","(257.09, 1.9)","(33.82633333333334, 2.5)"
5.8.,"(471.91, 1.1)","(190.466, 2.1)","(47.173333333333325, 2.5)"
5.9.,"(469.9333333333334, 1.1)","(212.7433333333333, 2.1)","(59.984, 2.5)"
5.,"(390.8133333333333, 0.9)","(180.97466666666665, 1.7)","(42.6115, 2.1)"
6.05,"(479.4466666666667, 1.3)","(240.22666666666663, 2.1)","(29.50433333333333, 2.7)"
6.15,"(503.1933333333333, 1.1)","(263.33, 2.1)","(40.41036666666667, 2.7)"
6.1,"(493.35666666666674, 1.3)","(255.28333333333333, 2.1)","(33.27633333333333, 2.7)"
6.25,"(509.6466666666666, 1.3)","(299.58, 2.1)","(52.923, 2.7)"
6.2,"(517.0066666666668, 1.3)","(280.51, 2.1)","(45.5639, 2.7)"
6.35,"(517.8133333333334, 1.3)","(215.7, 2.3000000000000003)","(64.52233333333334, 2.7)"
6.3,"(520.7266666666666, 1.3)","(306.9266666666667, 2.1)","(62.774, 2.7)"
6.45,"(538.6666666666666, 1.3)","(250.47333333333333, 2.3000000000000003)","(32.80566666666667, 2.9)"
6.4,"(524.1, 1.3)","(225.41666666666663, 2.3000000000000003)","(72.93266666666666, 2.7)"
6.55,"(548.22, 1.3)","(276.8966666666667, 2.3000000000000003)","(46.46133333333336, 2.9)"
6.5,"(525.2633333333333, 1.3)","(255.65666666666667, 2.3000000000000003)","(36.3314, 2.9)"
6.65,"(551.4699999999999, 1.3)","(289.7933333333333, 2.3000000000000003)","(50.56666666666666, 2.9)"
6.6,"(527.2466666666667, 1.3)","(280.5166666666667, 2.3000000000000003)","(49.8126666666667, 2.9)"
6.75,"(547.8666666666667, 1.3)","(312.06666666666666, 2.3000000000000003)","(61.94733333333334, 2.9)"
6.7,"(547.3633333333333, 1.3)","(303.2866666666667, 2.3000000000000003)","(57.84133333333333, 2.9)"
6.85,"(579.1966666666666, 1.3)","(336.90666666666664, 2.3000000000000003)","(80.307, 2.9)"
6.8,"(576.3166666666667, 1.3)","(329.0366666666667, 2.3000000000000003)","(74.494, 2.9)"
6.95,"(573.6966666666667, 1.5)","(273.21, 2.5)","(46.92066666666667, 3.1)"
6.9,"(580.1166666666667, 1.5)","(259.24333333333334, 2.5)","(35.84193333333337, 3.1)"
6,"(492.94, 1.1)","(228.53333333333333, 2.1)","(67.59266666666666, 2.5)"
7.05,"(597.6533333333333, 1.5)","(291.2866666666667, 2.5)","(52.373, 3.1)"
7.15,"(592.7933333333334, 1.5)","(316.3733333333334, 2.5)","(66.18800000000003, 3.1)"
7.1,"(587.2866666666667, 1.5)","(299.88666666666666, 2.5)","(57.117333333333335, 3.1)"
7.25,"(621.4533333333334, 1.5)","(353.1033333333333, 2.5)","(78.88199999999999, 3.1)"
